TAG	RAZSOC	ENDERECO	COMPL	LOCALIDADE	UF	Full Address	Latitude	Longitude	CEP	U_DESCNAE
00011045000161	JOSE CIRO GONCALVES JUNIOR	ANTONIO CARLOS DE ALVARENGA JUNIOR	15	TAUBATE	SP	ANTONIO CARLOS DE ALVARENGA JUNIOR 15 TAUBATE SP 	-23042349	-455669913	12091420	FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
00011060000100	SEMENTES COSMORAMA LTDA	BARNABE H DA SILVA	SN	COSMORAMA	SP	BARNABE H DA SILVA SN COSMORAMA SP 	-204780238	-49777922	15530000	AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
00011090000116	VALLI INDUSTRIA E COMERCIO LTDA	DA JUTA	498	AMERICANA	SP	DA JUTA 498 AMERICANA SP 	-226945593	-473033613	13474772	FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
00011241000136	ERA SPORTS ARTIGOS ESPORTIVOS LTDA	GETULIO VARGAS	930	SAO ROQUE	SP	GETULIO VARGAS 930 SAO ROQUE SP 	-235272684	-47142629	18130430	ATIVIDADES DE SERVIÇOS FINANCEIROS
00011258000193	G P G - COMERCIO + DISTRIBUICAO DE GAS EIRELI	EUZEBIO DE QUEIROZ	474	SANTOS	SP	EUZEBIO DE QUEIROZ 474 SANTOS SP 	-239585513	-46312977	11015270	COMÉRCIO VAREJISTA
00011284000111	LIONFER INDUSTRIA METALURGICA LTDA	NICOLAU PORTILHO	126	SUMARE	SP	NICOLAU PORTILHO 126 SUMARE SP 	-228505325	-471619436	13180540	FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
00011295000100	TECNOPONTA INFORMATICA LTDA	CONSELHEIRO NEBIAS	532	SANTOS	SP	CONSELHEIRO NEBIAS 532 SANTOS SP 	-239571128	-463231462	11045000	EDUCAÇÃO
00011344000104	CORREIAS RUBBERMAX INDUSTRIA E COMERCIO EIRELI	MARIA SOLDEIRA LOURENCON	640	ITUPEVA	SP	MARIA SOLDEIRA LOURENCON 640 ITUPEVA SP 	-231588083	-470498638	13295000	FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
00011358000110	E W F-IMPORTACAO EXPORTACAO E COMERCIO LTDA	MAGARINOS TORRES	1042	SAO PAULO	SP	MAGARINOS TORRES 1042 SAO PAULO SP 	-235173666	-465867347	02119001	COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00011446000111	GDZ SERVICOS DE CONSERTOS DE MAQUINAS LTDA	TEOFILO OTONI	474	ITAPECERICA DA SERRA	SP	TEOFILO OTONI 474 ITAPECERICA DA SERRA SP 	-236897502	-468236869	06855870	MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
00011471000103	AGNALDO EDSON DE MATTOS MICRO EMPRESA	SARGENTO DA AERONAUTICA PLINIO F. GONCALVES	409	GUARULHOS	SP	SARGENTO DA AERONAUTICA PLINIO F. GONCALVES 409 GUARULHOS SP 	-234480869	-4.64673E+15	07181100	COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00011479000161	KIPECAS DE MARILIA LTDA	WADY BUTARA	1024	MARILIA	SP	WADY BUTARA 1024 MARILIA SP 	-221809525	-499203076	17514730	COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00011480000196	HB DEFENSE, COMERCIO E MANUTENCAO DE EQUIPAMENTOS HOSPITALARES, MILITARES E SUB-AQUATICOS LTDA	FORTUNATO FERRAZ	1074	SAO PAULO	SP	FORTUNATO FERRAZ 1074 SAO PAULO SP 	-235165156	-467221846	05093000	COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00011512000153	MINEXCO COMERCIO, IMPORTACAO E EXPORTACAO LTDA.	MARIA GARCIA UTRILLA	94	GUARULHOS	SP	MARIA GARCIA UTRILLA 94 GUARULHOS SP 	-234795539	-4.64603E+15	07230640	COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00011568000108	J.R. CONSULTORIA DE IMOVEIS LTDA.	ANIELLO PRATICI	386	GUARULHOS	SP	ANIELLO PRATICI 386 GUARULHOS SP 	-234751455	-465301862	07013000	ATIVIDADES IMOBILIÁRIAS
00011614000179	POSTO RUSH CAR LTDA	COM ALB BONFIGLIOLI	2026	PRESIDENTE PRUDENTE	SP	COM ALB BONFIGLIOLI 2026 PRESIDENTE PRUDENTE SP 	-221339837	-514418294	19063390	COMÉRCIO VAREJISTA
00011631000106	LIVRARIA E PAPELARIA MENDONCA DE FRANCA LTDA	THOMAZ GONZAGA	1649	FRANCA	SP	THOMAZ GONZAGA 1649 FRANCA SP 	-205345312	-4.73984E+15	14400540	COMÉRCIO VAREJISTA
00011639000172	SER STAMPA COMUNICACAO LTDA	ANTONIO DE ANDRADE REBELO	400	SAO PAULO	SP	ANTONIO DE ANDRADE REBELO 400 SAO PAULO SP 	-236191461	-467072827	05692000	SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS
00011648000163	COSTA + PERES EMPREENDIMENTOS IMOBILIARIOS LTDA	CONSELHEIRO RODRIGUES ALVES	186	SANTOS	SP	CONSELHEIRO RODRIGUES ALVES 186 SANTOS SP 	-239561969	-4.63149E+15	11015200	CONSTRUÇÃO DE EDIFÍCIOS
00011835000147	TUTOIA EXPRESS SERVICOS POSTAIS LTDA	TUTOIA	811	SAO PAULO	SP	TUTOIA 811 SAO PAULO SP 	-235780033	-46650899	04007004	CORREIO E OUTRAS ATIVIDADES DE ENTREGA
00011879000177	SILK VITRINE LTDA	DEPUTADO EMILIO CARLOS	1755	SAO PAULO	SP	DEPUTADO EMILIO CARLOS 1755 SAO PAULO SP 	-234915418	-46676564	02721100	COMÉRCIO VAREJISTA
00011887000113	LIMEZOM EMBA INDUSTRIA COMERCIO E EXPORTACAO LTDA	PARIS	S/N	GUARANTA	SP	PARIS S/N GUARANTA SP 	48856614	23522219	16570000	COMÉRCIO VAREJISTA
00011909000145	CLAMILA INDUSTRIA DE CONFECCOES LTDA	MILLER	231	SAO PAULO	SP	MILLER 231 SAO PAULO SP 	-235394734	-466176776	03011011	CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
00011913000103	MELO LEAO VEICULOS PIRACICABA LTDA	JACOB WAGNER	145	PIRACICABA	SP	JACOB WAGNER 145 PIRACICABA SP 	-227445649	-4.76254E+15	13420565	COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00011938000107	RADIADORES M C LTDA	FLORIDA	37	GUARULHOS	SP	FLORIDA 37 GUARULHOS SP 	-234310241	-46438615	07171020	COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00012045000186	LA TIVOLI CHURRASCARIA E PIZZARIA LTDA	D	S/N	CANANEIA	SP	D S/N CANANEIA SP 	-250091975	-4.79289E+15	11990000	ALIMENTAÇÃO
00012076000137	EDITORA DMR LTDA	PEDROSO ALVARENGA	1284	SAO PAULO	SP	PEDROSO ALVARENGA 1284 SAO PAULO SP 	-235827072	-466828296	04531004	EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
00012182000110	ANTONIO BARBOSA - ATACADISTA DE CARNES	SAO JORGE	151	SAO CAETANO DO SUL	SP	SAO JORGE 151 SAO CAETANO DO SUL SP 	-236198161	-465785574	09530250	COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00012211000144	DRIVE CAR TRANSPORTES E COMBUSTIVEIS LTDA	SHC/NORTE SQ	403	BRASILIA	DF	SHC/NORTE SQ 403 BRASILIA DF 	-157808373	-4.78892E+15	70310500	COMÉRCIO VAREJISTA
00012247000128	BS CONSTRUCOES LTDA	QUINZE DE NOVEMBRO	2210	SAO CARLOS	SP	QUINZE DE NOVEMBRO 2210 SAO CARLOS SP 	-220124464	-478890329	13560240	CONSTRUÇÃO DE EDIFÍCIOS
00012348000107	W A COMERCIO E EMPREENDIMENTOS IMOBILIARIOS LTDA	PAULISTA	2073	SAO PAULO	SP	PAULISTA 2073 SAO PAULO SP 	-235588276	-466599882	01311940	ATIVIDADES IMOBILIÁRIAS
00012349000143	VIVABEM - COMERCIO E EMPREENDIMENTOS LTDA.	PAULISTA	2073	SAO PAULO	SP	PAULISTA 2073 SAO PAULO SP 	-235588276	-466599882	01311940	COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00012350000178	JOAO CAETANO COMERCIO E EMPREENDIMENTOS LTDA	PAULISTA	2073	SAO PAULO	SP	PAULISTA 2073 SAO PAULO SP 	-235588276	-466599882	01311940	COMÉRCIO VAREJISTA
00012365000136	BECHTRANS LOGISTICA INTERNATIONAL LTDA	VEREADOR JOSE DINIZ	3530	SAO PAULO	SP	VEREADOR JOSE DINIZ 3530 SAO PAULO SP 	-236172725	-466746877	04604006	ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
00012377000160	CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA	BR 060 KM 381	S/N	RIO VERDE	GO	BR 060 KM 381 S/N RIO VERDE GO 	-177816066	-508903456	75902261	FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
00012413000196	DIVELPA-DIST DE VEICULOS LENCOIS PAULISTA LTDA	ADRIANO ANDERSON FOGANHOLI	580	LENCOIS PAULISTA	SP	ADRIANO ANDERSON FOGANHOLI 580 LENCOIS PAULISTA SP 	-225707226	-488190726	18685830	COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00012456000171	PIROMETRICA SENSORES - EIRELI	PIASSANGUABA	2955	SAO PAULO	SP	PIASSANGUABA 2955 SAO PAULO SP 	-236252513	-466428804	04060004	FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
00012511000123	RESTAURANTE E PIZZARIA MARDAN EIRELI	PIO XII	378	SAO PAULO	SP	PIO XII 378 SAO PAULO SP 	-235649558	-466442445	01322030	ALIMENTAÇÃO
00012554000109	LUIZ TANGANELLI TRANSPORTES	GUILHERME BRAYN	938	LUIS ANTONIO	SP	GUILHERME BRAYN 938 LUIS ANTONIO SP 	-215550594	-477047196	14210000	TRANSPORTE TERRESTRE
00012565000199	CCM EXPORTACAO LTDA	CAPITAO OTAVIO MACHADO	164	SAO PAULO	SP	CAPITAO OTAVIO MACHADO 164 SAO PAULO SP 	-236366673	-4.6698E+15	04718000	COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
00012583000170	DESTILARIA VALE DO SAO PATRICIO S/A - EM RECUPERACAO JUDICIAL	BENEDITO GONCALVES DE OLIVEIRA	16	ITAPACI	GO	BENEDITO GONCALVES DE OLIVEIRA 16 ITAPACI GO 	-149554704	-49544686	76360000	FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
00012597000194	J.M.J. MOVEIS E DECORACOES LTDA	MANOEL  GOULART	1494	PRESIDENTE PRUDENTE	SP	MANOEL  GOULART 1494 PRESIDENTE PRUDENTE SP 	-221207629	-5.13981E+15	19015241	COMÉRCIO VAREJISTA
00012623000184	CELIO MARCOS DE AGUIRRA SARRIA	JOSE SALMEN	1.380	AGUDOS	SP	JOSE SALMEN 1.380 AGUDOS SP 	-22475435	-48986354	17120000	ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
00012668000159	BALOES PREMIUM PROMOCOES E EVENTOS LTDA	DANIEL VIEIRA	437	SAO PAULO	SP	DANIEL VIEIRA 437 SAO PAULO SP 	-234828869	-466380799	02434000	SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS
00012682000152	DOALTO PARTICIPACOES E EMPREENDIMENTOS LTDA	BR-153	S/N	APARECIDA DE GOIANIA	GO	BR-153 S/N APARECIDA DE GOIANIA GO 	-167475713	-49236587	74993600	ATIVIDADES IMOBILIÁRIAS
00012724000155	IPE ENGENHARIA E CONSTRUCOES LTDA	JOSE ELIAS ROSA	115	ARAGUAINA	TO	JOSE ELIAS ROSA 115 ARAGUAINA TO 	-7.19756E+15	-481953973	77807020	SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
00012822000192	TMV TECNOLOGIA INDUSTRIA E COMERCIO LTDA	DO MANJERICAO	31	COTIA	SP	DO MANJERICAO 31 COTIA SP 	-235802778	-4.68681E+15	06706240	FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
00012835000161	NATURAL DESIGN DECORACAO DE INTERIORES LTDA	WENCESLAU BRAS	220	SAO CAETANO DO SUL	SP	WENCESLAU BRAS 220 SAO CAETANO DO SUL SP 	-236202379	-465625228	09541200	OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
00012846000141	GIAMPAOLO DE C. TOGNOCCHI COMERCIO DE MINI VEICULOS	ITAMANDUABA	45	SAO PAULO	SP	ITAMANDUABA 45 SAO PAULO SP 	-23622087	-467576295	05755140	COMÉRCIO VAREJISTA
00012847000196	TRANSCOR INDUSTRIA DE PIGMENTOS E CORANTES LTDA	SITHA (JD UNIAO)	375	DIADEMA	SP	SITHA (JD UNIAO) 375 DIADEMA SP 	-237157151	-466070498	09981070	FABRICAÇÃO DE PRODUTOS QUÍMICOS
00012859000110	SERTRAZA TRANSPORTES LTDA	CARLOS ANCHESCHI	290	SERTAOZINHO	SP	CARLOS ANCHESCHI 290 SERTAOZINHO SP 	-211466803	-479744568	14175003	TRANSPORTE TERRESTRE
00012875000103	ESPACO SAO BENTO EMPREENDIMENTOS LTDA	SAO BENTO	357	SAO PAULO	SP	SAO BENTO 357 SAO PAULO SP 	-235459777	-466351537	01011100	ATIVIDADES IMOBILIÁRIAS
00012877000100	ALPHA COMPANY + TRANSPORTS LTDA	RIO BARUERI	60	BARUERI	SP	RIO BARUERI 60 BARUERI SP 	-235223051	-468978383	06422145	TRANSPORTE TERRESTRE
00012934000143	J F REZENDE	AMADOR BUENO DA VEIGA	1930	PINDAMONHANGABA	SP	AMADOR BUENO DA VEIGA 1930 PINDAMONHANGABA SP 	-229470676	-45477109	12424590	COMÉRCIO VAREJISTA
00012949000101	CB CORES COMERCIO DE TINTAS E FERRAMENTAS LTDA	SAO CAETANO	1988	SAO CAETANO DO SUL	SP	SAO CAETANO 1988 SAO CAETANO DO SUL SP 	-236029449	-46575925	09560500	COMÉRCIO VAREJISTA
00012973000140	LIGHTVIEW EQUIPAMENTOS VISUAIS EIRELI	RIBEIRO DO AMARAL	565	SAO PAULO	SP	RIBEIRO DO AMARAL 565 SAO PAULO SP 	-235956538	-4.66072E+15	04268000	REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
00013031000187	TRANS-PFEIFER TRANSPORTES LTDA	PROF. ANTONIO NASCIMENTO	31	SAO BERNARDO DO CAMPO	SP	PROF. ANTONIO NASCIMENTO 31 SAO BERNARDO DO CAMPO SP 	-237378861	-465557449	09820150	TRANSPORTE TERRESTRE
00013177000122	KARVACO SA	PAULISTA	2300	SAO PAULO	SP	PAULISTA 2300 SAO PAULO SP 	-235566781	-466608408	01310300	ATIVIDADES DE SERVIÇOS FINANCEIROS
00013225000182	SANTISTA CONSERVACAO DE ELEVADORES LTDA	SAO LEOPOLDO	307	SAO PAULO	SP	SAO LEOPOLDO 307 SAO PAULO SP 	-23540584	-465999954	03055000	SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
00013251000100	NUTFIL PLASTEX INDUSTRIA E COMERCIO DE EMBALAGENS EIRELI	AMAZONAS	222	SANTANA DE PARNAIBA	SP	AMAZONAS 222 SANTANA DE PARNAIBA SP 	-234116571	-468744316	06530085	FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
00013298000174	PAULO YOSHIYUKI YAMASAKI SAO ROQUE	PLANALTO	54	SAO ROQUE	SP	PLANALTO 54 SAO ROQUE SP 	-235258164	-47149247	18131130	COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
